Protein1,Protein2
sp|Q9V853|SMUF1_DROME,XBmRNA75823|XBXL10_1g40334
tr|Q7KJA9|Q7KJA9_DROME,XBmRNA66024|XBXL10_1g34954
sp|Q24120|CAPU_DROME,XBmRNA43357|XBXL10_1g23265
tr|Q9V433|Q9V433_DROME,XBmRNA75381|XBXL10_1g40078
tr|Q9Y134|Q9Y134_DROME,XBmRNA10729|XBXL10_1g5735
sp|Q9VSE2|HELQ_DROME,XBmRNA7813|XBXL10_1g4234
tr|Q9VSD6|Q9VSD6_DROME,XBmRNA32605|XBXL10_1g17691
tr|Q9VKW4|Q9VKW4_DROME,XBmRNA23960|XBXL10_1g12747
sp|Q9V3L1|NDST_DROME,XBmRNA62114|XBXL10_1g32893
tr|A0A0B4LGM5|A0A0B4LGM5_DROME,XBmRNA11698|XBXL10_1g6233
tr|Q9W5D3|Q9W5D3_DROME,XBmRNA18416|XBXL10_1g9851
sp|Q6NN85|SSH_DROME,XBmRNA4438|XBXL10_1g2542
tr|Q9W2D5|Q9W2D5_DROME,XBmRNA52822|XBXL10_1g28128
tr|M9ND55|M9ND55_DROME,XBmRNA73534|XBXL10_1g38966
sp|Q0KHQ5|TAO_DROME,XBmRNA5167|XBXL10_1g2895
tr|Q8IPT2|Q8IPT2_DROME,XBmRNA9122|XBXL10_1g4874
sp|P54362|AP3D_DROME,XBmRNA8297|XBXL10_1g4464
sp|Q9V9E3|PREP_DROME,XBmRNA50159|XBXL10_1g26825
tr|Q9VV61|Q9VV61_DROME,XBmRNA29288|XBXL10_1g15678
sp|Q24368|ISWI_DROME,XBmRNA66237|XBXL10_1g35077
sp|Q7KUT2|LONM_DROME,XBmRNA2859|XBXL10_1g1607
sp|Q9W3E1|INT4_DROME,XBmRNA16159|XBXL10_1g8557
tr|A1ZBE9|A1ZBE9_DROME,XBmRNA20259|XBXL10_1g10764
sp|P22700|ATC1_DROME,XBmRNA79197|XBXL10_1g42130
sp|Q9V3P6|PSMD1_DROME,XBmRNA48030|XBXL10_1g25700
tr|Q9VP10|Q9VP10_DROME,XBmRNA34150|XBXL10_1g18554
sp|Q9VLL0|ACSF4_DROME,XBmRNA1203|XBXL10_1g827
tr|A0A6M3Q7C8|A0A6M3Q7C8_DROME,XBmRNA18148|XBXL10_1g9711
tr|Q9VQZ8|Q9VQZ8_DROME,XBmRNA50524|XBXL10_1g26977
sp|Q9W3C1|NAT10_DROME,XBmRNA32874|XBXL10_1g17823
sp|A1ZAK1|INT8_DROME,XBmRNA55921|XBXL10_1g29716
tr|A8JNP3|A8JNP3_DROME,XBmRNA13681|XBXL10_1g7264
tr|A1Z6P8|A1Z6P8_DROME,XBmRNA76638|XBXL10_1g40701
tr|M9PG98|M9PG98_DROME,XBmRNA75147|XBXL10_1g39967
sp|Q24314|VPS18_DROME,XBmRNA72677|XBXL10_1g38478
sp|Q9VT41|INT7_DROME,XBmRNA46611|XBXL10_1g24987
tr|Q86B53|Q86B53_DROME,XBmRNA37031|XBXL10_1g20016
sp|Q24418|NMDA1_DROME,XBmRNA64392|XBXL10_1g34136
sp|A1ZA92|NOL9_DROME,XBmRNA59389|XBXL10_1g31412
sp|Q9VS24|MELT_DROME,XBmRNA44987|XBXL10_1g24052
sp|P35875|PARP_DROME,XBmRNA42293|XBXL10_1g22696
sp|Q9VSF2|MED24_DROME,XBmRNA73551|XBXL10_1g38979
tr|Q8IQ05|Q8IQ05_DROME,XBmRNA78141|XBXL10_1g41409
sp|Q9VBX1|NEMF_DROME,XBmRNA67755|XBXL10_1g35858
sp|P22817|IDE_DROME,XBmRNA61525|XBXL10_1g32596
tr|A0A0B4JCZ0|A0A0B4JCZ0_DROME,XBmRNA30456|XBXL10_1g16226
tr|Q9W0Z4|Q9W0Z4_DROME,XBmRNA53107|XBXL10_1g28275
tr|Q9W023|Q9W023_DROME,XBmRNA51471|XBXL10_1g27447
sp|P35600|RFC1_DROME,XBmRNA1037|XBXL10_1g758
sp|Q9VNH6|EXOC4_DROME,XBmRNA24322|XBXL10_1g12871
tr|Q9VH09|Q9VH09_DROME,XBmRNA8989|XBXL10_1g4801
sp|Q9W484|RTEL1_DROME,XBmRNA74372|XBXL10_1g39459
tr|Q95SH0|Q95SH0_DROME,XBmRNA45260|XBXL10_1g24185
tr|Q9VXW9|Q9VXW9_DROME,XBmRNA67561|XBXL10_1g35768
tr|Q8IN89|Q8IN89_DROME,XBmRNA67874|XBXL10_1g35914
tr|Q9VC93|Q9VC93_DROME,XBmRNA14960|XBXL10_1g7914
tr|Q7KVR8|Q7KVR8_DROME,XBmRNA34381|XBXL10_1g18693
sp|Q9VFS5|PP4R3_DROME,XBmRNA42708|XBXL10_1g22915
sp|Q9W495|PGAP1_DROME,XBmRNA77304|XBXL10_1g40976
tr|Q9VQ67|Q9VQ67_DROME,XBmRNA67394|XBXL10_1g35701
tr|Q9VAH2|Q9VAH2_DROME,XBmRNA78272|XBXL10_1g41478
sp|Q9V410|LZTR1_DROME,XBmRNA10174|XBXL10_1g5449
sp|Q86B47|Y8611_DROME,XBmRNA64903|XBXL10_1g34388
tr|Q7JW61|Q7JW61_DROME,XBmRNA65015|XBXL10_1g34442
tr|Q9VAX8|Q9VAX8_DROME,XBmRNA79675|XBXL10_1g42402
sp|Q9XZU1|XPO2_DROME,XBmRNA79809|XBXL10_1g42466
tr|Q9VDE8|Q9VDE8_DROME,XBmRNA77608|XBXL10_1g41128
tr|Q9VFU8|Q9VFU8_DROME,XBmRNA54910|XBXL10_1g29210
sp|P30189|TOP1_DROME,XBmRNA75100|XBXL10_1g39942
sp|Q9XZ08|EXT3_DROME,XBmRNA45936|XBXL10_1g24569
tr|A1Z9N0|A1Z9N0_DROME,XBmRNA48221|XBXL10_1g25792
sp|P31007|DLG1_DROME,XBmRNA48175|XBXL10_1g25776
tr|Q95TU2|Q95TU2_DROME,XBmRNA37816|XBXL10_1g20560
sp|Q9VKK2|WDR59_DROME,XBmRNA34835|XBXL10_1g18901
tr|Q9VLL1|Q9VLL1_DROME,XBmRNA45357|XBXL10_1g24221
sp|O96553|C1TC_DROME,XBmRNA68033|XBXL10_1g35977
tr|Q9VN57|Q9VN57_DROME,XBmRNA44809|XBXL10_1g23957
tr|A1ZAY8|A1ZAY8_DROME,XBmRNA50461|XBXL10_1g26943
sp|P45437|COPB_DROME,XBmRNA38969|XBXL10_1g21050
tr|Q9VC54|Q9VC54_DROME,XBmRNA66770|XBXL10_1g35374
sp|O46037|VINC_DROME,XBmRNA62338|XBXL10_1g33017
sp|Q24087|XPF_DROME,XBmRNA77514|XBXL10_1g41081
tr|B7YZM8|B7YZM8_DROME,XBmRNA51300|XBXL10_1g27360
tr|Q8IR23|Q8IR23_DROME,XBmRNA10421|XBXL10_1g5557
sp|Q9VUA0|GPTC1_DROME,XBmRNA34748|XBXL10_1g18848
sp|A1Z9E2|LIN54_DROME,XBmRNA33645|XBXL10_1g18254
tr|Q9W1M7|Q9W1M7_DROME,XBmRNA11030|XBXL10_1g5893
tr|Q5U0X8|Q5U0X8_DROME,XBmRNA17344|XBXL10_1g9285
sp|Q9Y0H4|SUDX_DROME,XBmRNA52817|XBXL10_1g28126
sp|Q7KT91|C3390_DROME,XBmRNA11181|XBXL10_1g5982
tr|Q9VBZ6|Q9VBZ6_DROME,XBmRNA12236|XBXL10_1g6531
tr|Q9VCX7|Q9VCX7_DROME,XBmRNA42056|XBXL10_1g22565
tr|Q9VS62|Q9VS62_DROME,XBmRNA42267|XBXL10_1g22676
tr|Q9VUY4|Q9VUY4_DROME,XBmRNA42211|XBXL10_1g22643
sp|Q9VLC0|VPS54_DROME,XBmRNA42634|XBXL10_1g22884
sp|Q9W345|ZDHC8_DROME,XBmRNA58158|XBXL10_1g30813
tr|Q8IP45|Q8IP45_DROME,XBmRNA45165|XBXL10_1g24148
tr|Q9VVU6|Q9VVU6_DROME,XBmRNA80211|XBXL10_1g42664
tr|Q9VLX0|Q9VLX0_DROME,XBmRNA23821|XBXL10_1g12696
tr|Q8IRD5|Q8IRD5_DROME,XBmRNA18264|XBXL10_1g9765
sp|Q7K4B6|TMTC3_DROME,XBmRNA23388|XBXL10_1g12501
sp|Q9W0S7|SND1_DROME,XBmRNA29895|XBXL10_1g15986
sp|O16810|ORC1_DROME,XBmRNA35588|XBXL10_1g19253
sp|P18091|ACTN_DROME,XBmRNA37791|XBXL10_1g20545
tr|Q9VLR7|Q9VLR7_DROME,XBmRNA11220|XBXL10_1g6006
tr|Q24253|Q24253_DROME,XBmRNA4367|XBXL10_1g2510
sp|P14773|HMDH_DROME,XBmRNA5595|XBXL10_1g3094
tr|Q9VW54|Q9VW54_DROME,XBmRNA44430|XBXL10_1g23784
sp|Q9VA02|DHTK1_DROME,XBmRNA24215|XBXL10_1g12837
tr|Q9VT19|Q9VT19_DROME,XBmRNA4418|XBXL10_1g2529
tr|Q9VYA5|Q9VYA5_DROME,XBmRNA14742|XBXL10_1g7825
tr|Q9VBX5|Q9VBX5_DROME,XBmRNA67431|XBXL10_1g35715
sp|P43248|MSH2_DROME,XBmRNA42021|XBXL10_1g22543
sp|Q9W354|ERK7_DROME,XBmRNA53504|XBXL10_1g28463
sp|O62621|COPB2_DROME,XBmRNA48768|XBXL10_1g26062
tr|Q9VIC9|Q9VIC9_DROME,XBmRNA36943|XBXL10_1g19966
tr|X2JAG8|X2JAG8_DROME,XBmRNA51737|XBXL10_1g27574
tr|Q9VR61|Q9VR61_DROME,XBmRNA47278|XBXL10_1g25321
sp|A1ZAX1|EIF3C_DROME,XBmRNA83438|XBXL10_1g44400
sp|Q9VM71|XRN2_DROME,XBmRNA46848|XBXL10_1g25089
tr|Q9VMY5|Q9VMY5_DROME,XBmRNA1938|XBXL10_1g1198
tr|A0A0B4KHC3|A0A0B4KHC3_DROME,XBmRNA69982|XBXL10_1g37107
tr|Q9VYW4|Q9VYW4_DROME,XBmRNA67064|XBXL10_1g35510
tr|Q9VI72|Q9VI72_DROME,XBmRNA16066|XBXL10_1g8491
tr|Q8MRI4|Q8MRI4_DROME,XBmRNA68437|XBXL10_1g36153
tr|Q9VFF3|Q9VFF3_DROME,XBmRNA58363|XBXL10_1g30903
tr|A1Z8D1|A1Z8D1_DROME,XBmRNA46339|XBXL10_1g24828
tr|A1ZA03|A1ZA03_DROME,XBmRNA77759|XBXL10_1g41207
sp|Q24210|CSKP_DROME,XBmRNA17912|XBXL10_1g9619
sp|Q4V516|DRC7_DROME,XBmRNA34921|XBXL10_1g18946
tr|Q9W474|Q9W474_DROME,XBmRNA43972|XBXL10_1g23556
tr|Q494K2|Q494K2_DROME,XBmRNA67792|XBXL10_1g35883
sp|Q9VQQ9|EXOC2_DROME,XBmRNA51715|XBXL10_1g27568
tr|Q9VIZ3|Q9VIZ3_DROME,XBmRNA72389|XBXL10_1g38315
tr|A1ZAZ2|A1ZAZ2_DROME,XBmRNA64656|XBXL10_1g34278
tr|Q9VUY1|Q9VUY1_DROME,XBmRNA13460|XBXL10_1g7170
tr|A1Z909|A1Z909_DROME,XBmRNA56798|XBXL10_1g30180
tr|A0A0B7P7M6|A0A0B7P7M6_DROME,XBmRNA80360|XBXL10_1g42744
tr|Q9VWI2|Q9VWI2_DROME,XBmRNA1649|XBXL10_1g1065
tr|Q9VT34|Q9VT34_DROME,XBmRNA42682|XBXL10_1g22902
tr|Q9I7J1|Q9I7J1_DROME,XBmRNA48869|XBXL10_1g26125
tr|A1Z7Y7|A1Z7Y7_DROME,XBmRNA74427|XBXL10_1g39491
tr|Q9VQY8|Q9VQY8_DROME,XBmRNA19197|XBXL10_1g10262
sp|P49735|MCM2_DROME,XBmRNA36962|XBXL10_1g19975
sp|Q9VGC3|COG1_DROME,XBmRNA80345|XBXL10_1g42735
sp|Q9VTK2|POMT1_DROME,XBmRNA71038|XBXL10_1g37617
sp|Q9VNX1|POLH_DROME,XBmRNA46385|XBXL10_1g24857
sp|Q8I0G5|COPG_DROME,XBmRNA29956|XBXL10_1g16016
sp|A1Z9G2|SYF1_DROME,XBmRNA26249|XBXL10_1g13819
tr|A0A0B4LHR8|A0A0B4LHR8_DROME,XBmRNA22811|XBXL10_1g12190
sp|P27619|DYN_DROME,XBmRNA71189|XBXL10_1g37679
tr|Q9VQL0|Q9VQL0_DROME,XBmRNA11405|XBXL10_1g6104
sp|Q7KVA1|XYLT_DROME,XBmRNA75309|XBXL10_1g40036
tr|Q9VEA2|Q9VEA2_DROME,XBmRNA68500|XBXL10_1g36183
sp|O96651|TOP3B_DROME,XBmRNA4770|XBXL10_1g2715
tr|Q9VVY0|Q9VVY0_DROME,XBmRNA5428|XBXL10_1g3019
tr|Q9VAH7|Q9VAH7_DROME,XBmRNA33411|XBXL10_1g18104
sp|Q9VH20|TAF1B_DROME,XBmRNA45649|XBXL10_1g24381
sp|Q9VGU5|TTC14_DROME,XBmRNA44812|XBXL10_1g23958
sp|Q9VPH0|INTU_DROME,XBmRNA7307|XBXL10_1g3998
tr|Q9VZ82|Q9VZ82_DROME,XBmRNA51115|XBXL10_1g27286
tr|A0A0B4K6B9|A0A0B4K6B9_DROME,XBmRNA51557|XBXL10_1g27483
tr|Q7JVW5|Q7JVW5_DROME,XBmRNA28313|XBXL10_1g15189
sp|Q7PLK0|AGO3_DROME,XBmRNA4890|XBXL10_1g2771
tr|Q7JYM7|Q7JYM7_DROME,XBmRNA50315|XBXL10_1g26877
tr|Q962I0|Q962I0_DROME,XBmRNA35617|XBXL10_1g19271
sp|Q26454|MCM4_DROME,XBmRNA55565|XBXL10_1g29528
tr|Q9VF20|Q9VF20_DROME,XBmRNA76250|XBXL10_1g40529
tr|Q8IR94|Q8IR94_DROME,XBmRNA43861|XBXL10_1g23495
tr|Q9XZS9|Q9XZS9_DROME,XBmRNA22183|XBXL10_1g11884
tr|Q9VUV4|Q9VUV4_DROME,XBmRNA38354|XBXL10_1g20810
tr|Q9VLX2|Q9VLX2_DROME,XBmRNA34108|XBXL10_1g18534
sp|Q9V4Z9|LINES_DROME,XBmRNA25392|XBXL10_1g13376
tr|Q9VR06|Q9VR06_DROME,XBmRNA43851|XBXL10_1g23489
tr|A1ZAX8|A1ZAX8_DROME,XBmRNA4503|XBXL10_1g2576
tr|Q7KRS6|Q7KRS6_DROME,XBmRNA20696|XBXL10_1g11011
tr|Q7KVW2|Q7KVW2_DROME,XBmRNA52930|XBXL10_1g28186
tr|Q7JPB9|Q7JPB9_DROME,XBmRNA79746|XBXL10_1g42429
sp|Q9VTU0|KRI1_DROME,XBmRNA26701|XBXL10_1g14163
sp|Q9VPW1|ASTE_DROME,XBmRNA50974|XBXL10_1g27229
sp|Q9W020|NOM1_DROME,XBmRNA50100|XBXL10_1g26799
tr|A0A0B4KF86|A0A0B4KF86_DROME,XBmRNA49434|XBXL10_1g26469
sp|Q9VEJ2|NOP14_DROME,XBmRNA731|XBXL10_1g630
tr|Q9VAQ0|Q9VAQ0_DROME,XBmRNA16045|XBXL10_1g8478
tr|O46094|O46094_DROME,XBmRNA13683|XBXL10_1g7265
tr|Q9VZ04|Q9VZ04_DROME,XBmRNA20|XBXL10_1g16
sp|Q05733|DCHS_DROME,XBmRNA29318|XBXL10_1g15695
sp|Q9V466|NU107_DROME,XBmRNA30521|XBXL10_1g16256
sp|P13060|EF2_DROME,XBmRNA7966|XBXL10_1g4292
sp|Q9XTL9|PYG_DROME,XBmRNA46913|XBXL10_1g25129
sp|P18824|ARM_DROME,XBmRNA54682|XBXL10_1g29076
tr|Q9VC32|Q9VC32_DROME,XBmRNA16733|XBXL10_1g8997
tr|Q9VZF2|Q9VZF2_DROME,XBmRNA1132|XBXL10_1g794
sp|Q9W3N6|USO1_DROME,XBmRNA2082|XBXL10_1g1266
tr|Q9VB05|Q9VB05_DROME,XBmRNA51396|XBXL10_1g27407
tr|Q9VHG1|Q9VHG1_DROME,XBmRNA21245|XBXL10_1g11323
sp|P49762|DOA_DROME,XBmRNA73342|XBXL10_1g38864
sp|Q9VFP2|RDX_DROME,XBmRNA79604|XBXL10_1g42368
tr|Q9VBX0|Q9VBX0_DROME,XBmRNA33413|XBXL10_1g18106
sp|P83102|DYRK3_DROME,XBmRNA23544|XBXL10_1g12576
tr|Q9W3C9|Q9W3C9_DROME,XBmRNA44569|XBXL10_1g23849
tr|Q9VZU7|Q9VZU7_DROME,XBmRNA61200|XBXL10_1g32443
tr|Q8T4G5|Q8T4G5_DROME,XBmRNA39368|XBXL10_1g21275
tr|Q9VX34|Q9VX34_DROME,XBmRNA20806|XBXL10_1g11055
sp|Q9VHN9|HPS5_DROME,XBmRNA5734|XBXL10_1g3166
tr|Q9VJ74|Q9VJ74_DROME,XBmRNA15116|XBXL10_1g7994
sp|Q9VI82|NOC3L_DROME,XBmRNA61794|XBXL10_1g32729
tr|Q5BI50|Q5BI50_DROME,XBmRNA19607|XBXL10_1g10483
tr|Q9W4W8|Q9W4W8_DROME,XBmRNA34336|XBXL10_1g18665
tr|Q9W4F8|Q9W4F8_DROME,XBmRNA1894|XBXL10_1g1177
sp|Q9XYU1|MCM3_DROME,XBmRNA45888|XBXL10_1g24546
sp|Q9VFH6|CEP78_DROME,XBmRNA3886|XBXL10_1g2124
tr|Q9VT40|Q9VT40_DROME,XBmRNA52838|XBXL10_1g28136
sp|Q9V461|MCM6_DROME,XBmRNA81596|XBXL10_1g43397
tr|Q9W0R0|Q9W0R0_DROME,XBmRNA45844|XBXL10_1g24507
sp|Q9VP47|TSR1_DROME,XBmRNA12234|XBXL10_1g6529
tr|Q6NQY9|Q6NQY9_DROME,XBmRNA67634|XBXL10_1g35800
tr|Q7JZ25|Q7JZ25_DROME,XBmRNA78235|XBXL10_1g41458
tr|Q9VTZ1|Q9VTZ1_DROME,XBmRNA73450|XBXL10_1g38915
tr|A0A0C4DHD7|A0A0C4DHD7_DROME,XBmRNA54922|XBXL10_1g29218
tr|Q5BIA9|Q5BIA9_DROME,XBmRNA75287|XBXL10_1g40028
tr|Q9VNG2|Q9VNG2_DROME,XBmRNA45224|XBXL10_1g24168
tr|Q9VQV7|Q9VQV7_DROME,XBmRNA14304|XBXL10_1g7619
tr|Q9VG84|Q9VG84_DROME,XBmRNA74705|XBXL10_1g39714
sp|P23647|FUSED_DROME,XBmRNA78276|XBXL10_1g41481
tr|Q9VFB6|Q9VFB6_DROME,XBmRNA36472|XBXL10_1g19715
tr|Q9W1E5|Q9W1E5_DROME,XBmRNA64389|XBXL10_1g34134
sp|Q7KN62|TERA_DROME,XBmRNA11089|XBXL10_1g5918
sp|Q02870|ERCC3_DROME,XBmRNA76094|XBXL10_1g40456
tr|X2JEY5|X2JEY5_DROME,XBmRNA18253|XBXL10_1g9756
tr|Q9VVM8|Q9VVM8_DROME,XBmRNA43092|XBXL10_1g23139
sp|Q7K4B3|ELP2_DROME,XBmRNA54923|XBXL10_1g29219
tr|Q9VTC1|Q9VTC1_DROME,XBmRNA79716|XBXL10_1g42419
sp|P52034|PFKA_DROME,XBmRNA15511|XBXL10_1g8202
tr|Q9VEJ1|Q9VEJ1_DROME,XBmRNA37772|XBXL10_1g20535
tr|A0A6H2EG81|A0A6H2EG81_DROME,XBmRNA46582|XBXL10_1g24969
tr|Q9VAY2|Q9VAY2_DROME,XBmRNA23279|XBXL10_1g12445
tr|Q7JQT9|Q7JQT9_DROME,XBmRNA78115|XBXL10_1g41395
sp|Q9VYA0|NADE_DROME,XBmRNA32825|XBXL10_1g17809
sp|Q9VHR8|DPP3_DROME,XBmRNA37835|XBXL10_1g20569
tr|Q9VEP9|Q9VEP9_DROME,XBmRNA4347|XBXL10_1g2495
sp|O76460|RAD54_DROME,XBmRNA40180|XBXL10_1g21670
tr|A1Z814|A1Z814_DROME,XBmRNA40237|XBXL10_1g21705
sp|Q7K0Y1|BOP1_DROME,XBmRNA53398|XBXL10_1g28428
tr|Q9V397|Q9V397_DROME,XBmRNA46002|XBXL10_1g24613
tr|Q7JQN4|Q7JQN4_DROME,XBmRNA26967|XBXL10_1g14297
sp|Q9VI55|UFL1_DROME,XBmRNA43941|XBXL10_1g23539
tr|Q9V3K9|Q9V3K9_DROME,XBmRNA63821|XBXL10_1g33791
sp|Q9VRA2|MOCOS_DROME,XBmRNA54903|XBXL10_1g29206
sp|Q9Y105|SYQ_DROME,XBmRNA37044|XBXL10_1g20022
tr|Q9VLL5|Q9VLL5_DROME,XBmRNA42420|XBXL10_1g22764
tr|Q9VZL2|Q9VZL2_DROME,XBmRNA5069|XBXL10_1g2847
sp|Q9XZ25|WDR24_DROME,XBmRNA79222|XBXL10_1g42147
sp|Q9VIE6|MCM10_DROME,XBmRNA24197|XBXL10_1g12829
tr|Q9VNW6|Q9VNW6_DROME,XBmRNA57102|XBXL10_1g30316
sp|Q95TN4|COG4_DROME,XBmRNA34856|XBXL10_1g18915
tr|Q9W395|Q9W395_DROME,XBmRNA986|XBXL10_1g734
tr|Q1RL13|Q1RL13_DROME,XBmRNA77291|XBXL10_1g40970
tr|Q9VII8|Q9VII8_DROME,XBmRNA44960|XBXL10_1g24038
tr|Q9VJ73|Q9VJ73_DROME,XBmRNA42802|XBXL10_1g22974
tr|Q9VAA2|Q9VAA2_DROME,XBmRNA66694|XBXL10_1g35339
tr|Q9XZ53|Q9XZ53_DROME,XBmRNA54602|XBXL10_1g29022
tr|Q9V9X7|Q9V9X7_DROME,XBmRNA46837|XBXL10_1g25082
sp|Q9VAQ1|SIR7_DROME,XBmRNA74725|XBXL10_1g39722
tr|Q9VUR2|Q9VUR2_DROME,XBmRNA66467|XBXL10_1g35209
tr|O46307|O46307_DROME,XBmRNA42561|XBXL10_1g22842
tr|Q7KVP9|Q7KVP9_DROME,XBmRNA66729|XBXL10_1g35356
tr|Q9VGH0|Q9VGH0_DROME,XBmRNA4670|XBXL10_1g2665
tr|Q6GKZ1|Q6GKZ1_DROME,XBmRNA49404|XBXL10_1g26452
sp|Q9VUK8|GARS_DROME,XBmRNA53930|XBXL10_1g28698
sp|Q9W5D4|POMT2_DROME,XBmRNA67448|XBXL10_1g35726
tr|Q9VM47|Q9VM47_DROME,XBmRNA33930|XBXL10_1g18464
tr|Q9VND2|Q9VND2_DROME,XBmRNA56526|XBXL10_1g30025
sp|Q9VN03|SUV3_DROME,XBmRNA57509|XBXL10_1g30534
sp|P0CG69|UBIQP_DROME,XBmRNA12041|XBXL10_1g6405
tr|Q8MLR7|Q8MLR7_DROME,XBmRNA66175|XBXL10_1g35039
tr|Q9VYL5|Q9VYL5_DROME,XBmRNA49433|XBXL10_1g26468
sp|Q9V730|EXT1_DROME,XBmRNA56038|XBXL10_1g29764
sp|P42124|EZ_DROME,XBmRNA54741|XBXL10_1g29111
tr|Q9VPD7|Q9VPD7_DROME,XBmRNA21080|XBXL10_1g11223
sp|Q9V3D6|CPSF2_DROME,XBmRNA70525|XBXL10_1g37364
sp|Q9VMX6|SMAL1_DROME,XBmRNA76123|XBXL10_1g40467
tr|A1ZAS8|A1ZAS8_DROME,XBmRNA41483|XBXL10_1g22316
tr|Q9V9R2|Q9V9R2_DROME,XBmRNA54049|XBXL10_1g28753
tr|Q9W2H2|Q9W2H2_DROME,XBmRNA51305|XBXL10_1g27363
sp|Q9VJD3|COG5_DROME,XBmRNA24060|XBXL10_1g12769
tr|Q7KSK2|Q7KSK2_DROME,XBmRNA80370|XBXL10_1g42750
tr|Q9VQK7|Q9VQK7_DROME,XBmRNA37783|XBXL10_1g20541
tr|D3DML3|D3DML3_DROME,XBmRNA69973|XBXL10_1g37104
tr|Q9W091|Q9W091_DROME,XBmRNA73022|XBXL10_1g38700
sp|Q9W1H4|DNLI1_DROME,XBmRNA59532|XBXL10_1g31506
tr|Q9VKB0|Q9VKB0_DROME,XBmRNA5946|XBXL10_1g3282
tr|A1Z898|A1Z898_DROME,XBmRNA11702|XBXL10_1g6236
sp|Q9W4M9|NSUN2_DROME,XBmRNA54929|XBXL10_1g29225
sp|Q9VM33|EFGM_DROME,XBmRNA44972|XBXL10_1g24045
tr|Q9W0C5|Q9W0C5_DROME,XBmRNA66211|XBXL10_1g35061
sp|Q9W3J8|DRC1_DROME,XBmRNA46045|XBXL10_1g24654
sp|Q7KN90|SYCC_DROME,XBmRNA39075|XBXL10_1g21099
sp|Q9VCX4|RRF2M_DROME,XBmRNA5586|XBXL10_1g3090
tr|A0A0B4LG18|A0A0B4LG18_DROME,XBmRNA6369|XBXL10_1g3468
tr|Q9VKD9|Q9VKD9_DROME,XBmRNA33719|XBXL10_1g18314
sp|Q9V8K2|EXOC3_DROME,XBmRNA51449|XBXL10_1g27434
sp|Q9VHV1|POLI_DROME,XBmRNA10934|XBXL10_1g5839
tr|Q9W3N8|Q9W3N8_DROME,XBmRNA46616|XBXL10_1g24989
tr|O76912|O76912_DROME,XBmRNA9530|XBXL10_1g5121
tr|A0A0B4KGU2|A0A0B4KGU2_DROME,XBmRNA46332|XBXL10_1g24824
tr|Q9VQE0|Q9VQE0_DROME,XBmRNA21478|XBXL10_1g11445
sp|Q9VSK9|PUS7_DROME,XBmRNA24087|XBXL10_1g12783
sp|Q9VGW6|MCM5_DROME,XBmRNA36255|XBXL10_1g19590
sp|Q24558|EXO1_DROME,XBmRNA72213|XBXL10_1g38224
sp|Q94511|NDUS1_DROME,XBmRNA82237|XBXL10_1g43677
sp|P16371|GROU_DROME,XBmRNA3892|XBXL10_1g2126
tr|Q7KND8|Q7KND8_DROME,XBmRNA77618|XBXL10_1g41139
sp|Q7JUN3|ABCD_DROME,XBmRNA23966|XBXL10_1g12748
sp|Q7K3M5|DHX15_DROME,XBmRNA976|XBXL10_1g728
tr|A0A0B4KFE4|A0A0B4KFE4_DROME,XBmRNA45195|XBXL10_1g24159
sp|Q9VNV3|DDX1_DROME,XBmRNA45701|XBXL10_1g24416
sp|Q9VRJ0|GEN_DROME,XBmRNA45716|XBXL10_1g24428
tr|A1ZBW6|A1ZBW6_DROME,XBmRNA45921|XBXL10_1g24560
sp|Q9VS46|RINT1_DROME,XBmRNA24082|XBXL10_1g12782
tr|Q9VKB2|Q9VKB2_DROME,XBmRNA51333|XBXL10_1g27376
sp|O46043|PARG_DROME,XBmRNA57983|XBXL10_1g30746
sp|Q9VI25|NCDN_DROME,XBmRNA18771|XBXL10_1g10044
sp|Q9W2S3|BTBD9_DROME,XBmRNA42401|XBXL10_1g22750
tr|Q9VHX0|Q9VHX0_DROME,XBmRNA64705|XBXL10_1g34299
sp|Q9VTH0|PLOD_DROME,XBmRNA32259|XBXL10_1g17501
tr|Q9V3P2|Q9V3P2_DROME,XBmRNA45660|XBXL10_1g24389
sp|Q9VZQ1|YTDC1_DROME,XBmRNA2254|XBXL10_1g1346
sp|Q9XYU0|MCM7_DROME,XBmRNA27060|XBXL10_1g14356
tr|Q494G8|Q494G8_DROME,XBmRNA53484|XBXL10_1g28455
sp|Q9VR99|CATIN_DROME,XBmRNA7982|XBXL10_1g4302
tr|Q9XYY9|Q9XYY9_DROME,XBmRNA53293|XBXL10_1g28364
tr|Q9VCN6|Q9VCN6_DROME,XBmRNA14578|XBXL10_1g7738
sp|P02828|HSP83_DROME,XBmRNA42481|XBXL10_1g22805
sp|Q9Y169|EXT2_DROME,XBmRNA38786|XBXL10_1g20966
sp|Q9W3K5|GSH1_DROME,XBmRNA44370|XBXL10_1g23753
tr|Q9W5T4|Q9W5T4_DROME,XBmRNA56528|XBXL10_1g30026
sp|P32866|GPRK2_DROME,XBmRNA26238|XBXL10_1g13811
tr|Q9VRE0|Q9VRE0_DROME,XBmRNA58569|XBXL10_1g30982
sp|Q7KKH3|SDA1_DROME,XBmRNA7709|XBXL10_1g4180
tr|O46100|O46100_DROME,XBmRNA75976|XBXL10_1g40411
sp|Q6NLL1|Y1411_DROME,XBmRNA67893|XBXL10_1g35923
